,online_order,book_table,rate,votes,location,rest_type,cuisines,Cost2plates
0,1,1,4.1,775,1,2,54,32
1,1,0,4.1,787,1,2,69,32
2,1,0,3.8,918,1,8,69,32
3,0,0,3.7,88,1,6,65,18
4,0,0,3.8,166,4,2,69,28
5,1,0,3.8,286,4,2,43,28
6,0,0,3.6,8,41,2,69,32
7,1,1,4.6,2556,1,8,69,28
8,1,0,4.0,324,1,1,69,30
9,1,0,4.2,504,1,1,69,26
10,1,0,4.1,402,1,1,16,25
11,1,1,4.2,150,1,1,69,28
12,1,1,4.2,164,1,1,69,25
13,0,0,4.0,424,1,1,18,23
14,1,0,3.8,918,1,8,69,32
15,1,0,3.8,90,1,1,16,29
16,1,0,3.9,133,1,1,69,32
17,1,0,3.8,144,1,1,69,30
18,0,0,3.9,93,1,1,69,18
19,1,0,3.1,13,1,1,69,22
20,1,0,3.0,62,1,1,69,22
21,1,0,3.7,180,1,1,69,25
22,0,0,3.6,28,1,1,20,34
23,1,0,3.6,62,1,8,69,28
24,0,0,3.7,31,1,1,16,18
25,0,0,3.2,11,1,1,17,28
26,1,0,3.8,75,1,8,69,14
27,0,0,3.3,4,1,1,69,25
28,0,0,3.3,23,1,1,20,26
29,0,0,3.8,148,4,8,69,26
30,1,0,4.0,219,4,1,69,28
31,1,0,2.8,506,1,6,69,25
32,1,0,3.9,35,1,4,4,25
33,1,0,3.9,172,1,4,58,31
34,1,0,4.2,415,1,6,69,25
35,1,0,3.9,230,1,4,9,29
36,1,0,2.8,91,1,6,48,22
37,1,0,4.2,1647,1,2,25,28
38,1,0,4.4,4884,18,2,69,31
39,1,0,4.0,17,1,6,60,9
40,1,0,3.8,133,4,6,69,14
41,0,0,3.9,28,1,8,60,18
42,1,0,3.9,286,1,6,15,25
43,1,0,3.9,540,1,6,59,32
44,1,1,4.6,2556,1,8,69,28
45,0,0,3.8,36,1,4,69,22
46,1,0,3.6,244,41,6,45,18
47,1,0,4.0,804,41,2,69,23
48,1,0,3.7,679,41,2,24,33
49,1,0,3.1,245,41,6,69,18
50,0,0,3.7,21,1,6,43,23
51,1,0,4.1,28,41,6,69,9
52,0,0,4.3,345,1,5,37,22
53,1,0,4.0,618,18,2,69,31
54,0,0,4.0,1047,1,6,69,23
55,1,0,3.9,627,1,4,69,23
56,1,0,3.8,104,1,6,10,18
57,1,1,4.2,354,1,2,69,32
58,0,0,3.6,55,1,6,33,14
59,1,0,3.7,17,1,5,29,22
60,0,0,4.2,244,1,2,69,32
